coin,method,side,entry_dt,entry,exit_dt,exit,reason,pnl_pct,pnl_usd
ETH,QR7_A,L,2025-09-13T16:05:00.000,4657.26,2025-09-13T16:15:00.000,4621.808292145765,SL,-0.8612,-21.53
ETH,QR7_A,L,2025-09-13T16:25:00.000,4637.23,2025-09-13T23:55:00.000,4664.74,EOD,0.4932,12.33
ETH,QR7_A,L,2025-09-14T01:05:00.000,4665.96,2025-09-14T01:20:00.000,4649.309539378928,SL,-0.4568,-11.42
ETH,QR7_A,S,2025-09-14T02:10:00.000,4681.77,2025-09-14T02:35:00.000,4670.268450587266,VWAP,0.1457,3.64
ETH,QR7_A,L,2025-09-14T04:15:00.000,4654.04,2025-09-14T04:15:00.000,4642.281043640632,SL,-0.3527,-8.82
ETH,QR7_A,L,2025-09-14T04:25:00.000,4648.29,2025-09-14T04:45:00.000,4664.464922609334,VWAP,0.248,6.2
ETH,QR7_A,L,2025-09-14T07:55:00.000,4649.94,2025-09-14T09:20:00.000,4663.220490338723,VWAP,0.1856,4.64
ETH,QR7_A,L,2025-09-14T11:20:00.000,4646.81,2025-09-14T11:30:00.000,4629.215258734804,SL,-0.4786,-11.97
ETH,QR7_A,L,2025-09-14T11:40:00.000,4638.35,2025-09-14T12:50:00.000,4620.5453511641535,SL,-0.4839,-12.1
ETH,QR7_A,L,2025-09-14T13:05:00.000,4622.19,2025-09-14T14:35:00.000,4600.086152008276,SL,-0.5782,-14.46
ETH,QR7_A,L,2025-09-14T14:45:00.000,4589.53,2025-09-14T21:40:00.000,4627.745516397483,VWAP,0.7327,18.32
ETH,QR7_A,L,2025-09-15T01:10:00.000,4582.27,2025-09-15T01:25:00.000,4596.3762488152815,VWAP,0.2078,5.2
ETH,QR7_A,S,2025-09-15T01:35:00.000,4613.69,2025-09-15T03:05:00.000,4629.187497136493,SL,-0.4359,-10.9
ETH,QR7_A,S,2025-09-15T03:15:00.000,4630.47,2025-09-15T04:05:00.000,4646.502884583119,SL,-0.4462,-11.16
ETH,QR7_A,S,2025-09-15T04:25:00.000,4650.81,2025-09-15T06:45:00.000,4629.827112837659,VWAP,0.3512,8.78
ETH,QR7_A,L,2025-09-15T08:05:00.000,4562.4,2025-09-15T09:00:00.000,4499.405838730875,SL,-1.4807,-37.02
ETH,QR7_A,S,2025-09-16T01:05:00.000,4520.65,2025-09-16T01:05:00.000,4526.255493642659,SL,-0.224,-5.6
