coin,method,side,entry_dt,entry,exit_dt,exit,reason,pnl_pct,pnl_usd
BNB,M3_EMAx,L,2025-09-05 20:00:00+00:00,851.19,2025-09-15 04:00:00+00:00,923.84,FLIP,8.4351,210.88
BNB,M3_EMAx,S,2025-09-15 08:00:00+00:00,923.84,2025-09-16 04:00:00+00:00,931.46,FLIP,-0.9248,-23.12
BNB,M3_EMAx,L,2025-09-16 08:00:00+00:00,931.47,2025-09-22 08:00:00+00:00,1019.05,FLIP,9.3023,232.56
BNB,M3_EMAx,S,2025-09-22 12:00:00+00:00,1019.05,2025-09-23 20:00:00+00:00,1016.87,FLIP,0.1139,2.85
BNB,M3_EMAx,L,2025-09-24 00:00:00+00:00,1016.86,2025-09-24 00:00:00+00:00,1002.96,FLIP,-1.467,-36.67
BNB,M3_EMAx,S,2025-09-24 04:00:00+00:00,1002.96,2025-09-24 04:00:00+00:00,1018.4,FLIP,-1.6394,-40.99
BNB,M3_EMAx,L,2025-09-24 08:00:00+00:00,1018.4,2025-09-25 00:00:00+00:00,1000.12,FLIP,-1.895,-47.37
BNB,M3_EMAx,S,2025-09-25 04:00:00+00:00,1000.11,2025-09-27 08:00:00+00:00,970.75,FLIP,2.8357,70.89
BNB,M3_EMAx,L,2025-09-27 12:00:00+00:00,970.76,2025-10-09 12:00:00+00:00,1240.65,FLIP,27.7019,692.55
BNB,M3_EMAx,S,2025-10-09 16:00:00+00:00,1240.65,2025-10-12 08:00:00+00:00,1228.82,FLIP,0.8535,21.34
BNB,M3_EMAx,L,2025-10-12 12:00:00+00:00,1228.82,2025-10-14 04:00:00+00:00,1194.74,FLIP,-2.8734,-71.83
BNB,M3_EMAx,S,2025-10-14 08:00:00+00:00,1194.74,2025-10-19 12:00:00+00:00,1117.95,FLIP,6.3273,158.18
BNB,M3_EMAx,L,2025-10-19 16:00:00+00:00,1117.96,2025-10-20 20:00:00+00:00,1099.72,FLIP,-1.7315,-43.29
BNB,M3_EMAx,S,2025-10-21 00:00:00+00:00,1099.73,2025-10-23 04:00:00+00:00,1108.8,FLIP,-0.9247,-23.12
BNB,M3_EMAx,L,2025-10-23 08:00:00+00:00,1108.79,2025-10-28 04:00:00+00:00,1131.62,FLIP,1.959,48.98
BNB,M3_EMAx,S,2025-10-28 08:00:00+00:00,1131.63,2025-11-01 16:00:00+00:00,1094.24,FLIP,3.2041,80.1
